_id,action,createdAt,daily_additionalComment_value,daily_airDraft_timestamp,daily_airDraft_value,daily_ambientSounds_timestamp,daily_ambientSounds_value,daily_artificialLight_timestamp,daily_artificialLight_value,daily_dayLight_timestamp,daily_dayLight_value,daily_smell_timestamp,daily_smell_value,daily_studentsAdherence_timestamp,daily_studentsAdherence_value,daily_studentsFocused_timestamp,daily_studentsFocused_value,daily_studentsIrritated_timestamp,daily_studentsIrritated_value,daily_studentsMotivated_timestamp,daily_studentsMotivated_value,device,finishedAt,heartbeat,hourly_airQuality_timestamp,hourly_airQuality_value,hourly_humidity_timestamp,hourly_humidity_value,hourly_indoorClimate_timestamp,hourly_indoorClimate_value,hourly_temperature_timestamp,hourly_temperature_value,participant,startedAt,type,updatedAt
6322f633da207aecda9c8360,manual,2022-09-15T09:53:54.990Z,,,,,,,,,,,,,,,,,,,,63186f7da505031fc7fc254e,2022-09-15T09:53:53.660Z,6322f632da207aecda9c835f,2022-09-15T09:53:52.457Z,3,2022-09-15T09:53:52.013Z,3,2022-09-15T09:53:51.095Z,3,2022-09-15T09:53:51.519Z,3,6318dea712223a195314b60b,2022-09-15T09:53:47.490Z,hourly,2022-09-15T09:53:54.990Z
6322fa98da207aecda9c8362,manual,2022-09-15T10:12:40.647Z,,,,,,,,,,,,,,,,,,,,63186295a505031fc7fc251f,2022-09-15T10:12:40.304Z,6322fa98da207aecda9c8361,2022-09-15T10:12:34.004Z,3,2022-09-15T10:12:32.731Z,3,2022-09-15T10:12:38.540Z,2,2022-09-15T10:12:30.935Z,5,6318dea712223a195314b612,2022-09-15T10:12:22.209Z,hourly,2022-09-15T10:12:40.647Z
6322fcfdda207aecda9c8364,manual,2022-09-15T10:22:53.543Z,,,,,,,,,,,,,,,,,,,,631867fca505031fc7fc252e,2022-09-15T10:22:52.943Z,6322fcfdda207aecda9c8363,2022-09-15T10:22:47.292Z,5,2022-09-15T10:22:48.428Z,5,2022-09-15T10:22:51.386Z,1,2022-09-15T10:22:49.296Z,5,6318dea612223a195314b5f7,2022-09-15T10:22:42.374Z,hourly,2022-09-15T10:22:53.543Z
6322fde0da207aecda9c8366,manual,2022-09-15T10:26:40.873Z,,,,,,,,,,,,,,,,,,,,63186aeda505031fc7fc253a,2022-09-15T10:26:39.400Z,6322fde0da207aecda9c8365,2022-09-15T10:26:37.245Z,5,2022-09-15T10:26:37.856Z,5,2022-09-15T10:26:29.945Z,1,2022-09-15T10:26:32.044Z,5,6318dea612223a195314b5f5,2022-09-15T10:26:26.366Z,hourly,2022-09-15T10:26:40.873Z
6322fe37da207aecda9c8369,manual,2022-09-15T10:28:07.767Z,,2022-09-15T10:27:39.132Z,3,2022-09-15T10:27:49.043Z,3,2022-09-15T10:27:47.623Z,3,2022-09-15T10:27:44.737Z,3,2022-09-15T10:27:34.959Z,4,2022-09-15T10:28:02.618Z,3,2022-09-15T10:27:58.335Z,3,2022-09-15T10:27:55.452Z,4,2022-09-15T10:28:01.802Z,3,63186f3da505031fc7fc254c,2022-09-15T10:28:07.059Z,6322fe37da207aecda9c8368,,,,,,,,,6318dea612223a195314b5f4,2022-09-15T10:27:23.318Z,daily,2022-09-15T10:28:07.767Z
6322fe78da207aecda9c836b,manual,2022-09-15T10:29:12.095Z,,,,,,,,,,,,,,,,,,,,63186c9ea505031fc7fc2542,2022-09-15T10:29:11.264Z,6322fe78da207aecda9c836a,2022-09-15T10:29:09.799Z,3,2022-09-15T10:29:07.807Z,3,2022-09-15T10:29:07.000Z,3,2022-09-15T10:29:09.057Z,3,6318dea712223a195314b60b,2022-09-15T10:29:04.295Z,hourly,2022-09-15T10:29:12.095Z
632301d2da207aecda9c836d,manual,2022-09-15T10:43:30.926Z,,,,,,,,,,,,,,,,,,,,63186995a505031fc7fc2534,2022-09-15T10:43:29.394Z,632301d2da207aecda9c836c,2022-09-15T10:43:28.074Z,3,2022-09-15T10:43:25.748Z,1,2022-09-15T10:43:21.168Z,3,2022-09-15T10:43:23.619Z,4,6318dea712223a195314b618,2022-09-15T10:43:14.967Z,hourly,2022-09-15T10:43:30.926Z
6323023bda207aecda9c836f,manual,2022-09-15T10:45:15.072Z,,,,,,,,,,,,,,,,,,,,63186995a505031fc7fc2534,2022-09-15T10:45:13.658Z,6323023bda207aecda9c836e,2022-09-15T10:45:11.808Z,3,2022-09-15T10:45:09.341Z,2,2022-09-15T10:45:04.833Z,3,2022-09-15T10:45:06.664Z,3,6318dea612223a195314b602,2022-09-15T10:44:51.182Z,hourly,2022-09-15T10:45:15.072Z
6323037ada207aecda9c838e,manual,2022-09-15T10:50:34.811Z,,2022-09-15T10:49:58.962Z,5,2022-09-15T10:50:13.159Z,2,2022-09-15T10:50:08.342Z,3,,0,2022-09-15T10:49:54.920Z,2,2022-09-15T10:50:27.615Z,2,2022-09-15T10:50:19.867Z,3,2022-09-15T10:50:18.108Z,3,2022-09-15T10:50:22.544Z,4,63186bffa505031fc7fc253f,2022-09-15T10:50:34.010Z,6323037ada207aecda9c838d,,,,,,,,,6318dea612223a195314b5fd,2022-09-15T10:49:46.345Z,daily,2022-09-15T10:50:34.811Z
63230418da207aecda9c8391,manual,2022-09-15T10:53:12.660Z,,,,,,,,,,,,,,,,,,,,63185e39a505031fc7fc2516,2022-09-15T10:53:11.848Z,63230418da207aecda9c8390,2022-09-15T10:53:09.901Z,2,2022-09-15T10:53:08.822Z,2,2022-09-15T10:53:05.184Z,4,2022-09-15T10:53:06.316Z,4,6318dea612223a195314b600,2022-09-15T10:52:48.235Z,hourly,2022-09-15T10:53:12.660Z
